Airline,Source,Dest,Stops,Info,Price,Day,Month,Distance(km),Duration
Jet Airways,DEL,COK,0,1,7202,9,3,2048.6,195
Jet Airways,CCU,BLR,1,0,12121,1,5,3022.67,1520
IndiGo,BLR,DEL,0,0,4377,24,3,1709.71,170
IndiGo,BLR,DEL,0,0,3943,18,6,1709.71,180
Air Asia,BLR,DEL,0,0,4483,3,4,1709.71,170
Jet Airways,CCU,BLR,1,0,14231,24,3,2500.36,975
Air India,BLR,DEL,2,0,17345,1,3,2034.22,905
Vistara,MAA,CCU,0,0,7414,6,3,1387.26,135
Multiple carriers,DEL,COK,1,0,8073,6,5,2201.6,390
Vistara,BOM,HYD,1,0,12395,6,3,2404.77,1505
Air India,CCU,BLR,1,0,8366,6,6,2500.36,745
Air India,DEL,COK,1,0,5117,3,4,2278.33,1640
Multiple carriers,DEL,COK,1,0,12524,3,6,2201.6,615
IndiGo,DEL,COK,1,0,7191,15,5,2201.6,630
Vistara,MAA,CCU,0,0,3687,24,5,1387.26,135
IndiGo,DEL,COK,1,0,5894,24,6,2201.6,625
Vistara,BLR,DEL,0,0,5403,24,4,1709.71,170
Air India,BOM,HYD,0,0,3625,6,5,623.54,90
Air India,DEL,COK,2,0,10861,21,5,2308.95,800
IndiGo,MAA,CCU,0,0,6297,12,3,1387.26,135
Jet Airways,BOM,HYD,0,0,5678,1,6,623.54,85
Jet Airways,BLR,DEL,1,1,9134,9,3,1971.87,1590
Multiple carriers,DEL,COK,1,1,10791,24,6,2201.6,440
Jet Airways,DEL,COK,2,0,12819,24,6,2263.95,810
IndiGo,DEL,COK,1,0,6893,21,3,2077.09,300
Vistara,BLR,DEL,0,0,7240,9,3,1709.71,165
GoAir,BLR,DEL,0,0,3898,3,4,1709.71,170
IndiGo,BOM,HYD,0,0,4049,3,4,623.54,90
Jet Airways,DEL,COK,1,1,10262,15,6,2201.6,1145
SpiceJet,MAA,CCU,0,2,3332,21,3,1387.26,135
Jet Airways,CCU,BLR,1,1,10844,9,6,2500.36,890
Jet Airways,BLR,DEL,0,0,7229,24,3,1709.71,160
Jet Airways,CCU,BLR,1,0,13941,6,5,2500.36,1330
IndiGo,DEL,COK,1,0,5894,27,6,2201.6,575
Multiple carriers,DEL,COK,1,0,10197,18,5,2201.6,600
Jet Airways,BLR,DEL,1,1,13712,6,3,1971.87,1280
IndiGo,DEL,COK,1,0,5636,24,6,2278.33,325
Jet Airways,DEL,COK,2,0,13014,6,6,2206.24,1125
Jet Airways,CCU,BLR,1,1,7064,1,4,2500.36,740
Jet Airways,CCU,BLR,1,1,10703,24,5,3022.67,1080
Multiple carriers,DEL,COK,1,0,9646,27,5,2084.71,555
Multiple carriers,DEL,COK,1,0,17057,6,3,2201.6,665
Jet Airways,BLR,DEL,1,0,13817,12,3,1971.87,1050
Air India,DEL,COK,2,0,13748,6,3,2308.95,800
Air India,CCU,BLR,0,0,4880,21,4,1547.27,155
IndiGo,MAA,CCU,0,0,3540,21,6,1387.26,145
SpiceJet,BLR,DEL,0,2,3257,15,5,1709.71,160
Jet Airways,BLR,DEL,0,1,6478,3,6,1709.71,180
Jet Airways,BOM,HYD,0,0,8040,18,6,623.54,85
Jet Airways,DEL,COK,2,0,14300,12,6,2895.09,995
Jet Airways,CCU,BLR,1,0,14781,15,5,2500.36,740
Jet Airways,CCU,BLR,1,0,14939,9,6,2500.36,735
Jet Airways,DEL,COK,1,1,10262,24,6,2201.6,450
Air India,CCU,BLR,1,0,6528,12,5,1654.62,1440
Air India,BLR,DEL,0,0,6121,1,5,1709.71,165
Jet Airways,DEL,COK,2,1,13029,18,5,2206.24,535
Multiple carriers,DEL,COK,1,0,11421,27,3,2201.6,430
Multiple carriers,DEL,COK,1,0,7574,27,3,2201.6,870
Air India,DEL,COK,2,0,11596,9,5,2335.87,1820
Jet Airways,DEL,COK,2,0,15129,24,5,2263.95,1195
Jet Airways,BLR,DEL,1,0,13555,18,3,1971.87,900
IndiGo,BLR,DEL,0,0,5780,12,4,1709.71,175
Vistara,CCU,BLR,1,0,9397,12,5,3022.67,765
Jet Airways,DEL,COK,1,0,17024,6,3,2201.6,610
GoAir,DEL,COK,1,0,5281,27,6,2201.6,355
Multiple carriers,DEL,COK,1,0,10348,18,5,2084.71,925
Air India,DEL,COK,1,0,12677,6,3,2278.33,965
Multiple carriers,DEL,COK,1,0,15147,3,3,2201.6,610
Vistara,BLR,DEL,0,0,4668,12,6,1709.71,160
Jet Airways,DEL,COK,1,0,15554,9,5,2201.6,715
SpiceJet,BLR,DEL,0,0,3971,9,4,1709.71,160
Air India,BOM,HYD,0,0,3100,3,5,623.54,85
Jet Airways,CCU,BLR,1,1,9663,6,5,2500.36,845
Air India,DEL,COK,1,0,27430,1,3,2201.6,1215
IndiGo,MAA,CCU,0,0,3540,12,5,1387.26,145
Air India,CCU,BLR,2,0,10676,21,5,2578.2,1390
Jet Airways,CCU,BLR,1,0,13044,12,6,2500.36,1090
Jet Airways,CCU,BLR,1,0,14388,6,5,2500.36,960
IndiGo,BLR,DEL,0,0,3943,24,6,1709.71,170
IndiGo,MAA,CCU,0,0,3597,3,6,1387.26,140
Air India,BLR,DEL,1,0,5932,21,3,2028.89,480
Jet Airways,DEL,COK,1,1,10262,15,6,2201.6,1015
Vistara,DEL,COK,0,0,6216,12,5,2048.6,190
IndiGo,CCU,BLR,0,0,4804,15,6,1547.27,165
Multiple carriers,DEL,COK,1,0,14067,21,5,2201.6,840
Jet Airways,DEL,COK,2,0,15129,18,5,2263.95,1430
Jet Airways,DEL,COK,2,0,13376,6,6,2600.67,1300
Air India,DEL,COK,2,0,10441,27,6,2993.19,1275
Jet Airways,BLR,DEL,0,1,4030,24,5,1709.71,165
Jet Airways,DEL,COK,1,0,17024,3,3,2201.6,650
Multiple carriers,DEL,COK,1,0,13017,9,4,2201.6,480
GoAir,CCU,BLR,1,0,6686,6,6,2500.36,495
IndiGo,DEL,COK,1,0,5636,15,6,2278.33,325
IndiGo,DEL,COK,1,0,6442,9,6,2084.71,515
Multiple carriers,DEL,COK,1,0,9486,21,5,2084.71,710
Jet Airways,CCU,BLR,1,1,10844,21,5,2500.36,1655
Jet Airways,DEL,COK,2,1,15318,3,6,2895.09,505
Air India,DEL,COK,1,0,5117,3,4,2278.33,1255
IndiGo,DEL,COK,1,0,6147,24,6,2077.09,290
Multiple carriers,DEL,COK,1,0,7005,9,6,2201.6,490
SpiceJet,CCU,BLR,0,0,3873,3,4,1547.27,140
Jet Airways,DEL,COK,2,1,9270,21,3,2220.78,1465
GoAir,BLR,DEL,0,0,3898,27,6,1709.71,170
Jet Airways,CCU,BLR,1,0,14781,12,5,2500.36,740
Jet Airways,CCU,BLR,1,1,8586,24,5,2500.36,735
Air India,CCU,BLR,2,0,10697,9,5,3102.91,1415
Jet Airways,DEL,COK,2,0,14300,27,6,2895.09,995
IndiGo,BLR,DEL,0,0,8855,3,3,1709.71,170
Jet Airways,CCU,BLR,1,1,10844,12,5,2500.36,1545
Jet Airways,DEL,COK,1,0,17024,6,3,2201.6,1570
Jet Airways,CCU,BLR,1,1,9314,1,5,3022.67,1730
IndiGo,BLR,DEL,0,0,4777,24,3,1709.71,165
Air India,CCU,BLR,1,0,7662,9,6,1547.97,1515
IndiGo,DEL,COK,1,0,6442,9,5,2084.71,560
SpiceJet,DEL,COK,1,0,5264,12,6,2130.78,270
Jet Airways,DEL,COK,1,1,12898,27,5,2201.6,925
Air India,BOM,HYD,0,0,6092,3,3,623.54,90
SpiceJet,BLR,DEL,0,0,3311,21,5,1709.71,160
Jet Airways,DEL,COK,1,1,6540,27,3,2201.6,550
IndiGo,BLR,DEL,0,0,3419,27,5,1709.71,165
Jet Airways,DEL,COK,1,1,5177,3,4,2201.6,1355
Air India,DEL,COK,0,0,8246,18,4,2048.6,185
Jet Airways,CCU,BLR,1,0,14676,9,6,3022.67,690
Multiple carriers,DEL,COK,1,0,13587,27,6,2201.6,570
Jet Airways,CCU,BLR,1,1,9663,6,5,2500.36,730
Jet Airways,CCU,BLR,1,0,13044,12,6,2500.36,1055
IndiGo,DEL,COK,1,0,5073,3,4,2201.6,305
Vistara,CCU,BLR,1,0,9345,21,5,3022.67,1550
Jet Airways,CCU,BLR,1,1,9663,6,5,2500.36,1200
Multiple carriers,DEL,COK,1,0,14277,21,5,2201.6,780
Jet Airways,DEL,COK,1,1,10262,1,6,2201.6,1105
Jet Airways,BOM,HYD,0,0,5678,27,3,623.54,90
Multiple carriers,DEL,COK,1,0,13727,15,5,2201.6,570
Jet Airways,CCU,BLR,1,1,9663,6,5,2500.36,960
IndiGo,MAA,CCU,0,0,3858,12,5,1387.26,140
SpiceJet,DEL,COK,1,0,4812,24,6,2130.78,270
IndiGo,DEL,COK,1,0,5775,27,6,2329.93,345
Jet Airways,CCU,BLR,1,1,10539,6,6,3022.67,1450
IndiGo,CCU,BLR,0,0,4804,3,6,1547.27,155
Air Asia,BLR,DEL,0,0,3383,12,6,1709.71,165
IndiGo,BLR,DEL,1,0,8738,3,3,1722.67,295
Air India,DEL,COK,1,0,7165,27,3,2427.24,1535
IndiGo,DEL,COK,1,0,6412,24,6,2084.71,380
Jet Airways,BLR,DEL,0,0,8016,27,6,1709.71,185
Jet Airways,BLR,DEL,1,1,11087,12,3,1971.87,1120
SpiceJet,MAA,CCU,0,2,3543,27,6,1387.26,135
Jet Airways,CCU,BLR,1,0,12471,12,6,2500.36,730
Jet Airways,DEL,COK,1,1,10262,24,6,2201.6,1165
Air India,BLR,DEL,0,0,4441,18,3,1709.71,170
Multiple carriers,DEL,COK,1,0,12537,27,3,2201.6,505
GoAir,CCU,BLR,1,0,10091,24,3,2500.36,555
Air India,BLR,DEL,0,0,6961,3,6,1709.71,170
IndiGo,DEL,COK,0,0,5013,24,4,2048.6,195
Air India,DEL,COK,0,0,6934,18,5,2048.6,170
Multiple carriers,DEL,COK,1,0,10877,3,6,2201.6,740
Jet Airways,BLR,DEL,0,0,7229,18,4,1709.71,175
IndiGo,DEL,COK,1,0,7048,27,3,2201.6,575
Vistara,BLR,DEL,0,0,4878,27,6,1709.71,155
Jet Airways,CCU,BLR,1,1,10844,21,5,2500.36,570
Jet Airways,DEL,COK,2,0,15129,18,5,2263.95,1760
IndiGo,BLR,DEL,0,0,3943,12,5,1709.71,175
SpiceJet,DEL,COK,1,0,5583,6,6,2278.33,315
Multiple carriers,DEL,COK,1,0,9646,6,6,2084.71,545
Multiple carriers,DEL,COK,1,0,7677,3,6,2201.6,645
IndiGo,DEL,COK,1,0,6842,1,6,2077.09,295
Jet Airways,BOM,HYD,0,1,4995,24,6,623.54,90
Vistara,CCU,BLR,1,0,9555,9,6,3022.67,700
IndiGo,BLR,DEL,0,0,4077,1,6,1709.71,165
Jet Airways,BLR,DEL,0,0,7229,12,5,1709.71,175
Multiple carriers,DEL,COK,1,0,12192,9,6,2201.6,600
Air India,BLR,DEL,0,0,5911,12,4,1709.71,165
Air India,DEL,COK,1,0,8372,12,6,2201.6,615
Jet Airways,BOM,HYD,0,1,4995,18,3,623.54,85
Multiple carriers,DEL,COK,1,0,14323,9,5,2201.6,555
Jet Airways,DEL,COK,2,0,13014,9,6,2206.24,1375
Air India,DEL,COK,2,0,13591,6,6,4043.05,1730
IndiGo,BLR,DEL,0,0,3943,27,4,1709.71,170
SpiceJet,BOM,HYD,0,2,1965,21,5,623.54,90
Jet Airways,BOM,HYD,0,1,4995,27,5,623.54,90
Air India,CCU,BLR,1,0,14641,24,3,2500.36,1540
Air India,CCU,BLR,0,0,4460,12,4,1547.27,155
Air India,DEL,COK,1,0,10191,18,5,2201.6,375
Jet Airways,DEL,COK,1,1,13843,9,3,2201.6,1050
IndiGo,DEL,COK,1,0,6349,1,5,2329.93,345
Air Asia,CCU,BLR,0,0,4409,1,5,1547.27,155
Jet Airways,DEL,COK,1,0,17024,6,3,2201.6,1530
Multiple carriers,DEL,COK,1,0,13727,18,5,2201.6,835
IndiGo,BLR,DEL,0,0,8855,15,3,1709.71,175
Multiple carriers,DEL,COK,1,0,12524,24,6,2201.6,615
Jet Airways,BLR,DEL,1,0,13555,18,3,1971.87,520
Jet Airways,CCU,BLR,1,1,10844,6,6,2500.36,330
Multiple carriers,DEL,COK,1,0,13587,9,6,2201.6,720
SpiceJet,MAA,CCU,0,2,3543,12,6,1387.26,135
Vistara,MAA,CCU,0,0,4842,18,3,1387.26,135
IndiGo,BLR,DEL,0,0,3943,24,4,1709.71,170
Jet Airways,DEL,COK,1,1,10577,9,6,2201.6,550
IndiGo,DEL,COK,1,0,6979,15,5,2201.6,625
Vistara,MAA,CCU,0,0,11982,27,6,1387.26,140
SpiceJet,DEL,COK,1,0,5264,6,6,2130.78,270
Vistara,DEL,COK,0,0,8001,3,3,2048.6,190
Air India,DEL,COK,2,0,10651,1,6,2263.95,1410
Jet Airways,CCU,BLR,1,1,10844,24,5,2500.36,1640
Multiple carriers,DEL,COK,1,0,6601,27,3,2084.71,755
Air India,DEL,COK,1,0,6587,21,3,2201.6,1455
SpiceJet,BOM,HYD,0,0,3173,21,3,623.54,80
Air India,BLR,DEL,0,0,5228,9,5,1709.71,165
Jet Airways,BLR,DEL,0,1,5769,21,6,1709.71,180
Jet Airways,DEL,COK,1,0,14714,6,6,2201.6,660
Jet Airways,DEL,COK,2,0,13014,3,6,2206.24,810
IndiGo,BLR,DEL,0,0,3359,3,6,1709.71,170
GoAir,BLR,DEL,0,0,6722,3,3,1709.71,175
IndiGo,CCU,BLR,0,0,4462,18,3,1547.27,165
IndiGo,DEL,COK,1,0,6171,9,3,2084.71,675
Air India,CCU,BLR,2,0,12303,21,5,3045.77,875
Multiple carriers,DEL,COK,1,0,7695,21,3,2201.6,835
IndiGo,DEL,COK,1,0,5684,24,6,2201.6,845
Air India,CCU,BLR,1,0,8366,12,6,2500.36,905
Air India,MAA,CCU,0,0,19630,1,3,1387.26,135
Jet Airways,BLR,DEL,1,1,13502,6,3,1971.87,900
Jet Airways,CCU,BLR,1,0,14781,1,5,2500.36,775
Multiple carriers,DEL,COK,1,0,6513,12,6,2084.71,540
Air India,DEL,COK,1,0,9929,1,6,2201.6,735
Multiple carriers,DEL,COK,2,0,18275,6,6,2325.49,460
Air India,DEL,COK,1,0,4487,9,4,2278.33,1640
IndiGo,BOM,HYD,0,0,2754,15,3,623.54,85
Air India,BOM,HYD,0,0,2575,27,3,623.54,80
SpiceJet,CCU,BLR,1,0,8224,12,6,2311.75,330
Air India,DEL,COK,1,0,8991,9,3,2077.09,705
IndiGo,DEL,COK,0,0,5000,24,6,2048.6,195
Jet Airways,CCU,BLR,1,1,8529,12,6,2500.36,1495
Air India,DEL,COK,1,0,14042,3,3,2278.33,1640
Jet Airways,BLR,DEL,0,1,4030,24,5,1709.71,175
Jet Airways,CCU,BLR,1,1,10844,6,6,2500.36,1025
IndiGo,CCU,BLR,0,0,4804,6,5,1547.27,160
Multiple carriers,DEL,COK,1,1,7308,27,5,2201.6,480
IndiGo,BLR,DEL,0,0,4823,12,5,1709.71,180
Jet Airways,DEL,COK,1,1,10262,24,6,2201.6,1655
Jet Airways,DEL,COK,1,1,12898,27,5,2201.6,450
Air India,BLR,DEL,2,0,12778,12,3,2106.14,1375
IndiGo,DEL,COK,1,0,14871,3,3,2201.6,515
Air India,DEL,COK,2,0,8708,21,3,2229.75,1795
Jet Airways,CCU,BLR,1,1,10844,6,6,2500.36,1335
SpiceJet,BOM,HYD,0,0,4129,6,3,623.54,80
IndiGo,CCU,BLR,0,0,4804,18,5,1547.27,160
Jet Airways,BLR,DEL,0,0,7229,6,5,1709.71,180
Jet Airways,BLR,DEL,1,1,7832,21,3,1971.87,730
SpiceJet,MAA,CCU,0,0,3859,18,3,1387.26,155
Multiple carriers,DEL,COK,1,0,9001,6,6,2201.6,705
Vistara,BLR,DEL,0,0,4878,9,5,1709.71,155
IndiGo,BOM,HYD,0,0,2754,3,5,623.54,90
Vistara,BLR,DEL,0,0,4668,27,6,1709.71,160
Air Asia,CCU,BLR,0,0,5216,12,5,1547.27,155
Jet Airways,DEL,COK,2,1,10368,6,6,2206.24,1375
IndiGo,DEL,COK,2,0,8146,9,3,2292.07,880
Jet Airways,DEL,COK,1,0,12242,27,3,2201.6,925
Jet Airways,BLR,DEL,1,1,9134,15,3,1971.87,435
Air India,DEL,COK,2,0,10939,6,6,2292.07,1210
Air India,DEL,COK,2,0,11753,6,6,2993.19,1245
SpiceJet,CCU,BLR,0,0,4174,24,4,1547.27,150
Jet Airways,CCU,BLR,1,1,10844,21,5,2500.36,1430
Jet Airways,DEL,COK,1,0,14714,3,6,2201.6,1620
Jet Airways,CCU,BLR,1,1,9899,12,6,2500.36,330
IndiGo,DEL,COK,1,0,14871,3,3,2201.6,710
IndiGo,MAA,CCU,0,0,7295,6,3,1387.26,135
Air India,DEL,COK,2,0,13465,6,6,2206.24,1470
SpiceJet,MAA,CCU,0,2,3543,21,5,1387.26,140
Multiple carriers,DEL,COK,1,0,7198,27,6,2201.6,390
Jet Airways,DEL,COK,1,1,10262,1,6,2201.6,1225
IndiGo,CCU,BLR,0,0,4148,15,3,1547.27,155
Jet Airways,BLR,DEL,0,0,8016,27,6,1709.71,175
Jet Airways,DEL,COK,1,1,10262,9,6,2201.6,335
SpiceJet,CCU,BLR,0,2,3841,15,6,1547.27,150
Jet Airways,BLR,DEL,1,0,11507,12,3,2028.89,885
Jet Airways,CCU,BLR,1,0,14781,1,5,2500.36,740
Jet Airways,DEL,COK,1,0,16079,27,5,2201.6,1530
Jet Airways,DEL,COK,1,1,12898,27,5,2201.6,335
Multiple carriers,DEL,COK,1,0,15353,6,3,2201.6,705
IndiGo,BLR,DEL,0,0,7303,24,3,1709.71,175
SpiceJet,CCU,BLR,1,0,6197,24,3,1654.62,340
Air India,CCU,BLR,1,0,8996,9,6,1547.97,245
IndiGo,DEL,COK,1,0,6528,21,3,2084.71,480
GoAir,BLR,DEL,0,0,4239,9,4,1709.71,165
IndiGo,CCU,BLR,0,0,4148,12,3,1547.27,160
SpiceJet,BLR,DEL,0,0,3971,24,5,1709.71,175
Air Asia,CCU,BLR,1,0,5192,6,5,3022.67,955
Jet Airways,DEL,COK,2,0,9483,9,4,2263.95,1390
Jet Airways,DEL,COK,2,0,18804,3,6,2335.87,440
Air India,DEL,COK,0,0,5201,18,6,2048.6,170
Jet Airways,DEL,COK,1,0,16079,27,5,2201.6,450
Jet Airways,BLR,DEL,0,1,7229,15,6,1709.71,180
Multiple carriers,DEL,COK,1,0,6795,27,5,2201.6,465
Jet Airways,CCU,BLR,1,0,10953,9,5,3022.67,1520
Multiple carriers,DEL,COK,2,0,15965,24,6,2232.34,625
Air India,DEL,COK,2,0,9968,9,4,2335.87,1820
IndiGo,CCU,BLR,0,0,4804,6,6,1547.27,155
Jet Airways,DEL,COK,1,0,16079,27,5,2201.6,540
Jet Airways,DEL,COK,2,1,11507,12,6,2232.34,910
Air India,CCU,BLR,2,0,11542,9,6,3097.47,1700
Jet Airways,BLR,DEL,0,0,7229,24,4,1709.71,180
Jet Airways,BLR,DEL,0,1,4544,27,4,1709.71,165
IndiGo,DEL,COK,1,0,6496,15,5,2077.09,295
IndiGo,CCU,BLR,0,0,4804,15,6,1547.27,160
Air India,BLR,DEL,1,0,13439,1,3,2860.23,1330
Jet Airways,DEL,COK,1,1,6540,27,3,2201.6,610
IndiGo,BLR,DEL,0,0,4591,1,6,1709.71,170
IndiGo,BLR,DEL,1,0,4437,18,3,1722.67,260
Air Asia,DEL,COK,1,0,6151,21,3,2077.09,660
Jet Airways,BLR,DEL,0,1,7754,21,6,1709.71,180
Jet Airways,DEL,COK,1,1,10262,24,6,2201.6,1355
Jet Airways,BLR,DEL,0,0,8016,9,6,1709.71,185
SpiceJet,CCU,BLR,0,2,4781,24,3,1547.27,160
Vistara,BLR,DEL,0,0,4668,27,6,1709.71,170
Air India,BLR,DEL,1,0,14594,6,3,2028.89,1265
Jet Airways,CCU,BLR,1,0,14231,24,3,2500.36,710
Air India,DEL,COK,1,0,8425,15,5,2427.24,1535
Multiple carriers,DEL,COK,1,0,9646,12,6,2084.71,925
IndiGo,MAA,CCU,0,0,7295,3,3,1387.26,145
Air Asia,CCU,BLR,1,0,5162,9,4,1547.97,220
IndiGo,BLR,DEL,0,0,6860,9,3,1709.71,175
Vistara,DEL,COK,0,0,6216,15,4,2048.6,190
Air Asia,CCU,BLR,1,0,5192,24,5,3022.67,710
IndiGo,BLR,DEL,0,0,4823,9,4,1709.71,170
SpiceJet,BLR,DEL,0,2,3919,3,4,1709.71,170
IndiGo,BOM,HYD,0,0,2754,3,6,623.54,90
Multiple carriers,DEL,COK,1,0,9315,9,5,2201.6,690
Multiple carriers,DEL,COK,1,0,11667,27,3,2201.6,530
Jet Airways,CCU,BLR,1,1,6224,12,6,2500.36,1215
Air India,CCU,BLR,2,0,13349,24,3,2573.87,1210
Jet Airways,BLR,DEL,1,1,11087,18,3,1971.87,965
Multiple carriers,DEL,COK,1,0,15603,6,3,2201.6,755
Jet Airways,DEL,COK,2,0,15129,9,5,2206.24,1025
IndiGo,BLR,DEL,0,0,4823,9,4,1709.71,180
Vistara,CCU,BLR,1,0,8452,1,5,3022.67,930
Multiple carriers,DEL,COK,1,0,12524,6,6,2201.6,690
SpiceJet,MAA,CCU,0,0,3384,27,3,1387.26,140
Jet Airways,DEL,COK,1,1,10262,1,6,2201.6,1425
SpiceJet,BOM,HYD,0,2,1965,18,6,623.54,90
IndiGo,CCU,BLR,0,0,4804,18,5,1547.27,155
Jet Airways,DEL,COK,1,0,16079,27,5,2201.6,1485
Jet Airways,DEL,COK,2,0,13292,1,6,2232.34,1295
Air Asia,DEL,COK,1,0,6751,9,5,2077.09,330
Air India,DEL,COK,1,0,8669,15,5,2201.6,735
IndiGo,DEL,COK,1,0,14871,3,3,2201.6,485
Jet Airways,DEL,COK,1,1,12898,21,5,2201.6,300
SpiceJet,BLR,DEL,0,2,3919,6,6,1709.71,170
Multiple carriers,DEL,COK,1,0,36983,1,3,2201.6,385
IndiGo,MAA,CCU,0,0,3597,3,6,1387.26,140
Air India,BLR,DEL,0,0,10741,9,3,1709.71,165
Air India,CCU,BLR,2,0,11432,6,6,2573.87,765
Jet Airways,BLR,DEL,1,1,11087,12,3,1971.87,950
Jet Airways,DEL,COK,2,0,13292,3,6,2232.34,1620
Air India,DEL,COK,3,0,10493,15,6,2971.24,1585
GoAir,BLR,DEL,0,0,7631,9,3,1709.71,175
Air India,DEL,COK,2,0,13381,6,6,4043.05,1490
Jet Airways,CCU,BLR,1,0,13731,6,6,2500.36,520
Air India,DEL,COK,2,0,11911,21,5,2308.95,1545
IndiGo,BLR,DEL,0,0,4591,18,4,1709.71,170
Multiple carriers,DEL,COK,1,0,14848,3,6,2201.6,375
Multiple carriers,DEL,COK,1,0,8266,12,6,2201.6,630
Air India,DEL,COK,2,0,12392,18,5,2955.43,1560
Jet Airways,CCU,BLR,1,0,13044,12,6,2500.36,1025
Jet Airways,DEL,COK,1,1,12898,21,5,2201.6,1280
Jet Airways,DEL,COK,1,0,12242,21,3,2201.6,335
IndiGo,BLR,DEL,0,0,3943,18,5,1709.71,170
Vistara,CCU,BLR,1,0,11105,24,3,3022.67,1550
Jet Airways,CCU,BLR,1,0,14388,12,5,2500.36,730
Jet Airways,DEL,COK,2,0,13014,18,5,2206.24,1025
Multiple carriers,DEL,COK,1,0,15411,6,3,2201.6,510
Jet Airways,DEL,COK,1,0,16289,9,3,2201.6,1385
IndiGo,DEL,COK,1,0,6442,15,5,2084.71,560
Jet Airways,CCU,BLR,1,1,10844,18,5,2500.36,475
Jet Airways,BOM,HYD,0,0,5678,18,5,623.54,90
IndiGo,BLR,DEL,0,0,6906,12,4,1709.71,170
SpiceJet,MAA,CCU,0,2,3543,21,5,1387.26,135
Jet Airways,DEL,COK,1,0,14714,6,6,2201.6,600
Vistara Premium economy,BLR,DEL,0,0,11793,3,3,1709.71,155
Multiple carriers,DEL,COK,1,0,14323,15,5,2201.6,465
SpiceJet,BLR,DEL,0,0,3971,9,4,1709.71,175
Vistara,CCU,BLR,1,0,8452,6,5,3022.67,1580
Vistara,BLR,DEL,0,0,5403,12,4,1709.71,160
Multiple carriers,DEL,COK,1,0,13727,9,5,2201.6,660
Air India,CCU,BLR,2,0,12639,1,4,3290.72,1165
Jet Airways,BLR,DEL,0,1,5198,18,4,1709.71,175
Vistara,BLR,DEL,0,0,4878,1,6,1709.71,165
Jet Airways,DEL,COK,1,1,12373,18,5,2201.6,1395
