Airline,Source,Dest,Route Map,Stops,Info,Price,Day,Month,Distance(km),Dep_Hr,Dep_Min,Duration_Hr,Duration_Min
Jet Airways,BOM,HYD,BOM → HYD,0,0,5678,1,6,623.54,07,05,1,25
Jet Airways,BLR,DEL,BLR → BOM → DEL,1,1,9134,09,3,1971.87,05,45,26,30
Multiple carriers,DEL,COK,DEL → BOM → COK,1,1,10791,24,6,2201.6,11,40,7,20
Jet Airways,DEL,COK,DEL → AMD → BOM → COK,2,0,12819,24,6,2263.95,23,05,13,30
IndiGo,DEL,COK,DEL → BLR → COK,1,0,6893,21,3,2077.09,05,05,5,0
Vistara,BLR,DEL,BLR → DEL,0,0,7240,09,3,1709.71,09,50,2,45
GoAir,BLR,DEL,BLR → DEL,0,0,3898,3,4,1709.71,11,40,2,50
IndiGo,BOM,HYD,BOM → HYD,0,0,4049,3,4,623.54,06,25,1,30
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,10262,15,6,2201.6,17,30,19,5
SpiceJet,MAA,CCU,MAA → CCU,0,2,3332,21,3,1387.26,08,20,2,15
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,10844,9,6,2500.36,21,10,14,50
Jet Airways,BLR,DEL,BLR → DEL,0,0,7229,24,3,1709.71,19,55,2,40
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,13941,6,5,2500.36,06,30,22,10
IndiGo,DEL,COK,DEL → BOM → COK,1,0,5894,27,6,2201.6,11,25,9,35
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,10197,18,5,2201.6,09,00,10,0
Jet Airways,BLR,DEL,BLR → BOM → DEL,1,1,13712,06,3,1971.87,14,05,21,20
IndiGo,DEL,COK,DEL → MAA → COK,1,0,5636,24,6,2278.33,02,00,5,25
Jet Airways,DEL,COK,DEL → JAI → BOM → COK,2,0,13014,6,6,2206.24,09,40,18,45
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,7064,1,4,2500.36,08,25,12,20
Jet Airways,CCU,BLR,CCU → DEL → BLR,1,1,10703,24,5,3022.67,20,25,18,0
Multiple carriers,DEL,COK,DEL → HYD → COK,1,0,9646,27,5,2084.71,13,15,9,15
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,17057,6,3,2201.6,02,15,11,5
Jet Airways,BLR,DEL,BLR → BOM → DEL,1,0,13817,12,3,1971.87,16,55,17,30
Air India,DEL,COK,DEL → BHO → BOM → COK,2,0,13748,6,3,2308.95,05,55,13,20
Air India,CCU,BLR,CCU → BLR,0,0,4880,21,4,1547.27,20,45,2,35
IndiGo,MAA,CCU,MAA → CCU,0,0,3540,21,6,1387.26,05,15,2,25
SpiceJet,BLR,DEL,BLR → DEL,0,2,3257,15,5,1709.71,05,55,2,40
Jet Airways,BLR,DEL,BLR → DEL,0,1,6478,3,6,1709.71,19,50,3,0
Jet Airways,BOM,HYD,BOM → HYD,0,0,8040,18,6,623.54,07,05,1,25
Jet Airways,DEL,COK,DEL → ATQ → BOM → COK,2,0,14300,12,6,2895.09,20,00,16,35
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,14781,15,5,2500.36,08,25,12,20
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,14939,9,6,2500.36,20,00,12,15
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,10262,24,6,2201.6,20,55,7,30
Air India,CCU,BLR,CCU → MAA → BLR,1,0,6528,12,5,1654.62,14,35,24,0
Air India,BLR,DEL,BLR → DEL,0,0,6121,1,5,1709.71,06,10,2,45
Jet Airways,DEL,COK,DEL → JAI → BOM → COK,2,1,13029,18,5,2206.24,19,30,8,55
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,11421,27,3,2201.6,11,40,7,10
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,7574,27,3,2201.6,04,45,14,30
Air India,DEL,COK,DEL → JDH → BOM → COK,2,0,11596,9,5,2335.87,12,55,30,20
Jet Airways,DEL,COK,DEL → AMD → BOM → COK,2,0,15129,24,5,2263.95,23,05,19,55
Jet Airways,BLR,DEL,BLR → BOM → DEL,1,0,13555,18,3,1971.87,14,05,15,0
IndiGo,BLR,DEL,BLR → DEL,0,0,5780,12,4,1709.71,18,55,2,55
Vistara,CCU,BLR,CCU → DEL → BLR,1,0,9397,12,5,3022.67,20,20,12,45
Jet Airways,DEL,COK,DEL → BOM → COK,1,0,17024,6,3,2201.6,18,15,10,10
GoAir,DEL,COK,DEL → BOM → COK,1,0,5281,27,6,2201.6,07,00,5,55
Multiple carriers,DEL,COK,DEL → HYD → COK,1,0,10348,18,5,2084.71,07,05,15,25
Air India,DEL,COK,DEL → MAA → COK,1,0,12677,6,3,2278.33,17,20,16,5
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,15147,3,3,2201.6,15,25,10,10
Vistara,BLR,DEL,BLR → DEL,0,0,4668,12,6,1709.71,07,00,2,40
Jet Airways,DEL,COK,DEL → BOM → COK,1,0,15554,9,5,2201.6,07,05,11,55
SpiceJet,BLR,DEL,BLR → DEL,0,0,3971,9,4,1709.71,05,55,2,40
Air India,BOM,HYD,BOM → HYD,0,0,3100,3,5,623.54,15,00,1,25
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,9663,6,5,2500.36,20,00,14,5
Air India,DEL,COK,DEL → BOM → COK,1,0,27430,1,3,2201.6,23,00,20,15
IndiGo,MAA,CCU,MAA → CCU,0,0,3540,12,5,1387.26,05,15,2,25
Air India,CCU,BLR,CCU → BBI → BOM → BLR,2,0,10676,21,5,2578.2,12,00,23,10
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,13044,12,6,2500.36,14,05,18,10
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,14388,6,5,2500.36,20,00,16,0
IndiGo,BLR,DEL,BLR → DEL,0,0,3943,24,6,1709.71,04,00,2,50
IndiGo,MAA,CCU,MAA → CCU,0,0,3597,3,6,1387.26,14,45,2,20
Air India,BLR,DEL,BLR → MAA → DEL,1,0,5932,21,3,2028.89,11,50,8,0
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,10262,15,6,2201.6,11,30,16,55
Vistara,DEL,COK,DEL → COK,0,0,6216,12,5,2048.6,14,40,3,10
IndiGo,CCU,BLR,CCU → BLR,0,0,4804,15,6,1547.27,20,25,2,45
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,14067,21,5,2201.6,11,30,14,0
Jet Airways,DEL,COK,DEL → AMD → BOM → COK,2,0,15129,18,5,2263.95,19,10,23,50
Jet Airways,DEL,COK,DEL → NAG → BOM → COK,2,0,13376,6,6,2600.67,06,45,21,40
Air India,DEL,COK,DEL → GOI → BOM → COK,2,0,10441,27,6,2993.19,22,00,21,15
Jet Airways,BLR,DEL,BLR → DEL,0,1,4030,24,5,1709.71,06,00,2,45
Jet Airways,DEL,COK,DEL → BOM → COK,1,0,17024,3,3,2201.6,08,00,10,50
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,13017,9,4,2201.6,17,30,8,0
GoAir,CCU,BLR,CCU → BOM → BLR,1,0,6686,6,6,2500.36,23,30,8,15
IndiGo,DEL,COK,DEL → MAA → COK,1,0,5636,15,6,2278.33,02,00,5,25
IndiGo,DEL,COK,DEL → HYD → COK,1,0,6442,9,6,2084.71,07,35,8,35
Multiple carriers,DEL,COK,DEL → HYD → COK,1,0,9486,21,5,2084.71,13,05,11,50
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,10844,21,5,2500.36,20,00,27,35
Jet Airways,DEL,COK,DEL → ATQ → BOM → COK,2,1,15318,3,6,2895.09,20,00,8,25
Air India,DEL,COK,DEL → MAA → COK,1,0,5117,3,4,2278.33,12,30,20,55
IndiGo,DEL,COK,DEL → BLR → COK,1,0,6147,24,6,2077.09,15,10,4,50
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,7005,9,6,2201.6,12,50,8,10
SpiceJet,CCU,BLR,CCU → BLR,0,0,3873,3,4,1547.27,22,20,2,20
Jet Airways,DEL,COK,DEL → BDQ → BOM → COK,2,1,9270,21,3,2220.78,18,25,24,25
GoAir,BLR,DEL,BLR → DEL,0,0,3898,27,6,1709.71,11,40,2,50
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,14781,12,5,2500.36,08,25,12,20
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,8586,24,5,2500.36,20,00,12,15
Air India,CCU,BLR,CCU → JAI → BOM → BLR,2,0,10697,9,5,3102.91,08,20,23,35
Jet Airways,DEL,COK,DEL → ATQ → BOM → COK,2,0,14300,27,6,2895.09,20,00,16,35
IndiGo,BLR,DEL,BLR → DEL,0,0,8855,03,3,1709.71,18,55,2,50
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,10844,12,5,2500.36,16,30,25,45
Jet Airways,DEL,COK,DEL → BOM → COK,1,0,17024,6,3,2201.6,02,15,26,10
Jet Airways,CCU,BLR,CCU → DEL → BLR,1,1,9314,1,5,3022.67,09,35,28,50
IndiGo,BLR,DEL,BLR → DEL,0,0,4777,24,3,1709.71,00,40,2,45
Air India,CCU,BLR,CCU → BBI → BLR,1,0,7662,9,6,1547.97,12,00,25,15
IndiGo,DEL,COK,DEL → HYD → COK,1,0,6442,9,5,2084.71,06,50,9,20
SpiceJet,DEL,COK,DEL → PNQ → COK,1,0,5264,12,6,2130.78,08,45,4,30
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,12898,27,5,2201.6,13,00,15,25
Air India,BOM,HYD,BOM → HYD,0,0,6092,3,3,623.54,13,55,1,30
SpiceJet,BLR,DEL,BLR → DEL,0,0,3311,21,5,1709.71,05,55,2,40
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,6540,27,3,2201.6,19,15,9,10
IndiGo,BLR,DEL,BLR → DEL,0,0,3419,27,5,1709.71,01,30,2,45
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,5177,3,4,2201.6,14,00,22,35
Air India,DEL,COK,DEL → COK,0,0,8246,18,4,2048.6,18,05,3,5
Jet Airways,CCU,BLR,CCU → DEL → BLR,1,0,14676,9,6,3022.67,09,35,11,30
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,13587,27,6,2201.6,11,30,9,30
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,9663,6,5,2500.36,21,10,12,10
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,13044,12,6,2500.36,16,30,17,35
IndiGo,DEL,COK,DEL → BOM → COK,1,0,5073,3,4,2201.6,20,25,5,5
Vistara,CCU,BLR,CCU → DEL → BLR,1,0,9345,21,5,3022.67,17,00,25,50
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,9663,6,5,2500.36,14,05,20,0
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,14277,21,5,2201.6,08,00,13,0
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,10262,1,6,2201.6,10,00,18,25
Jet Airways,BOM,HYD,BOM → HYD,0,0,5678,27,3,623.54,19,35,1,30
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,13727,15,5,2201.6,16,00,9,30
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,9663,6,5,2500.36,20,00,16,0
IndiGo,MAA,CCU,MAA → CCU,0,0,3858,12,5,1387.26,14,45,2,20
SpiceJet,DEL,COK,DEL → PNQ → COK,1,0,4812,24,6,2130.78,08,45,4,30
IndiGo,DEL,COK,DEL → LKO → COK,1,0,5775,27,6,2329.93,21,50,5,45
Jet Airways,CCU,BLR,CCU → DEL → BLR,1,1,10539,6,6,3022.67,09,35,24,10
IndiGo,CCU,BLR,CCU → BLR,0,0,4804,3,6,1547.27,15,30,2,35
Air Asia,BLR,DEL,BLR → DEL,0,0,3383,12,6,1709.71,11,10,2,45
IndiGo,BLR,DEL,BLR → HYD → DEL,1,0,8738,03,3,1722.67,12,10,4,55
Air India,DEL,COK,DEL → TRV → COK,1,0,7165,27,3,2427.24,05,15,25,35
IndiGo,DEL,COK,DEL → HYD → COK,1,0,6412,24,6,2084.71,16,10,6,20
Jet Airways,BLR,DEL,BLR → DEL,0,0,8016,27,6,1709.71,18,55,3,5
Jet Airways,BLR,DEL,BLR → BOM → DEL,1,1,11087,12,3,1971.87,20,35,18,40
SpiceJet,MAA,CCU,MAA → CCU,0,2,3543,27,6,1387.26,09,45,2,15
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,12471,12,6,2500.36,16,30,12,10
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,10262,24,6,2201.6,09,00,19,25
Air India,BLR,DEL,BLR → DEL,0,0,4441,18,3,1709.71,13,20,2,50
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,12537,27,3,2201.6,07,05,8,25
GoAir,CCU,BLR,CCU → BOM → BLR,1,0,10091,24,3,2500.36,22,25,9,15
Air India,BLR,DEL,BLR → DEL,0,0,6961,3,6,1709.71,21,05,2,50
IndiGo,DEL,COK,DEL → COK,0,0,5013,24,4,2048.6,05,35,3,15
Air India,DEL,COK,DEL → COK,0,0,6934,18,5,2048.6,05,10,2,50
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,10877,3,6,2201.6,06,40,12,20
Jet Airways,BLR,DEL,BLR → DEL,0,0,7229,18,4,1709.71,15,15,2,55
IndiGo,DEL,COK,DEL → BOM → COK,1,0,7048,27,3,2201.6,16,00,9,35
Vistara,BLR,DEL,BLR → DEL,0,0,4878,27,6,1709.71,17,00,2,35
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,10844,21,5,2500.36,14,05,9,30
Jet Airways,DEL,COK,DEL → AMD → BOM → COK,2,0,15129,18,5,2263.95,23,05,29,20
IndiGo,BLR,DEL,BLR → DEL,0,0,3943,12,5,1709.71,00,30,2,55
SpiceJet,DEL,COK,DEL → MAA → COK,1,0,5583,6,6,2278.33,06,05,5,15
Multiple carriers,DEL,COK,DEL → HYD → COK,1,0,9646,6,6,2084.71,07,05,9,5
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,7677,3,6,2201.6,08,30,10,45
IndiGo,DEL,COK,DEL → BLR → COK,1,0,6842,1,6,2077.09,05,10,4,55
Jet Airways,BOM,HYD,BOM → HYD,0,1,4995,24,6,623.54,08,45,1,30
Vistara,CCU,BLR,CCU → DEL → BLR,1,0,9555,9,6,3022.67,07,10,11,40
IndiGo,BLR,DEL,BLR → DEL,0,0,4077,1,6,1709.71,01,30,2,45
Jet Airways,BLR,DEL,BLR → DEL,0,0,7229,12,5,1709.71,15,15,2,55
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,12192,9,6,2201.6,09,00,10,0
Air India,BLR,DEL,BLR → DEL,0,0,5911,12,4,1709.71,10,00,2,45
Air India,DEL,COK,DEL → BOM → COK,1,0,8372,12,6,2201.6,09,00,10,15
Jet Airways,BOM,HYD,BOM → HYD,0,1,4995,18,3,623.54,07,10,1,25
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,14323,9,5,2201.6,10,00,9,15
Jet Airways,DEL,COK,DEL → JAI → BOM → COK,2,0,13014,9,6,2206.24,05,30,22,55
Air India,DEL,COK,DEL → CCU → BOM → COK,2,0,13591,6,6,4043.05,14,25,28,50
Jet Airways,DEL,COK,DEL → IDR → BOM → COK,2,0,18799,3,3,2232.34,05,25,37,25
IndiGo,BLR,DEL,BLR → DEL,0,0,3943,27,4,1709.71,23,30,2,50
SpiceJet,BOM,HYD,BOM → HYD,0,2,1965,21,5,623.54,05,45,1,30
Jet Airways,BOM,HYD,BOM → HYD,0,1,4995,27,5,623.54,10,20,1,30
Air India,CCU,BLR,CCU → BOM → BLR,1,0,14641,24,3,2500.36,16,50,25,40
Air India,CCU,BLR,CCU → BLR,0,0,4460,12,4,1547.27,20,45,2,35
Air India,DEL,COK,DEL → BOM → COK,1,0,10191,18,5,2201.6,13,00,6,15
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,13843,9,3,2201.6,02,15,17,30
IndiGo,DEL,COK,DEL → LKO → COK,1,0,6349,1,5,2329.93,21,50,5,45
Air Asia,CCU,BLR,CCU → BLR,0,0,4409,1,5,1547.27,10,20,2,35
Jet Airways,DEL,COK,DEL → BOM → COK,1,0,17024,6,3,2201.6,18,15,25,30
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,13727,18,5,2201.6,07,05,13,55
IndiGo,BLR,DEL,BLR → DEL,0,0,8855,15,3,1709.71,18,25,2,55
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,12524,24,6,2201.6,08,45,10,15
Jet Airways,BLR,DEL,BLR → BOM → DEL,1,0,13555,18,3,1971.87,11,40,8,40
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,10844,6,6,2500.36,06,30,5,30
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,13587,9,6,2201.6,09,00,12,0
SpiceJet,MAA,CCU,MAA → CCU,0,2,3543,12,6,1387.26,09,45,2,15
Vistara,MAA,CCU,MAA → CCU,0,0,4842,18,3,1387.26,07,05,2,15
IndiGo,BLR,DEL,BLR → DEL,0,0,3943,24,4,1709.71,23,30,2,50
Jet Airways,DEL,COK,DEL → BOM → COK,1,1,10577,9,6,2201.6,19,15,9,10
IndiGo,DEL,COK,DEL → BOM → COK,1,0,6979,15,5,2201.6,10,35,10,25
Vistara,MAA,CCU,MAA → CCU,0,0,11982,27,6,1387.26,17,45,2,20
SpiceJet,DEL,COK,DEL → PNQ → COK,1,0,5264,6,6,2130.78,08,45,4,30
Vistara,DEL,COK,DEL → COK,0,0,8001,3,3,2048.6,06,00,3,10
Air India,DEL,COK,DEL → AMD → BOM → COK,2,0,10651,1,6,2263.95,19,45,23,30
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,10844,24,5,2500.36,16,30,27,20
Multiple carriers,DEL,COK,DEL → HYD → COK,1,0,6601,27,3,2084.71,09,45,12,35
Air India,DEL,COK,DEL → BOM → COK,1,0,6587,21,3,2201.6,19,00,24,15
SpiceJet,BOM,HYD,BOM → HYD,0,0,3173,21,3,623.54,13,10,1,20
Air India,BLR,DEL,BLR → DEL,0,0,5228,9,5,1709.71,10,00,2,45
Jet Airways,BLR,DEL,BLR → DEL,0,1,5769,21,6,1709.71,07,10,3,0
Jet Airways,DEL,COK,DEL → BOM → COK,1,0,14714,6,6,2201.6,08,00,11,0
Jet Airways,DEL,COK,DEL → JAI → BOM → COK,2,0,13014,3,6,2206.24,05,30,13,30
IndiGo,BLR,DEL,BLR → DEL,0,0,3359,3,6,1709.71,22,10,2,50
GoAir,BLR,DEL,BLR → DEL,0,0,6722,03,3,1709.71,20,55,2,55
IndiGo,CCU,BLR,CCU → BLR,0,0,4462,18,3,1547.27,09,35,2,45
IndiGo,DEL,COK,DEL → HYD → COK,1,0,6171,9,3,2084.71,04,55,11,15
Air India,CCU,BLR,CCU → IXR → DEL → BLR,2,0,12303,21,5,3045.77,05,50,14,35
Multiple carriers,DEL,COK,DEL → BOM → COK,1,0,7695,21,3,2201.6,11,40,13,55
IndiGo,DEL,COK,DEL → BOM → COK,1,0,5684,24,6,2201.6,11,25,14,5
Air India,CCU,BLR,CCU → BOM → BLR,1,0,8366,12,6,2500.36,16,50,15,5
Air India,MAA,CCU,MAA → CCU,0,0,19630,1,3,1387.26,11,40,2,15
Jet Airways,BLR,DEL,BLR → BOM → DEL,1,1,13502,06,3,1971.87,14,05,15,0
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,0,14781,1,5,2500.36,21,10,12,55
Multiple carriers,DEL,COK,DEL → HYD → COK,1,0,6513,12,6,2084.71,07,10,9,0
Air India,DEL,COK,DEL → BOM → COK,1,0,9929,1,6,2201.6,07,00,12,15
Multiple carriers,DEL,COK,DEL → IXU → BOM → COK,2,0,18275,6,6,2325.49,17,50,7,40
Air India,DEL,COK,DEL → MAA → COK,1,0,4487,9,4,2278.33,06,05,27,20
IndiGo,BOM,HYD,BOM → HYD,0,0,2754,15,3,623.54,21,20,1,25
Air India,BOM,HYD,BOM → HYD,0,0,2575,27,3,623.54,06,20,1,20
SpiceJet,CCU,BLR,CCU → IXB → BLR,1,0,8224,12,6,2311.75,15,55,5,30
Air India,DEL,COK,DEL → BLR → COK,1,0,8991,9,3,2077.09,20,30,11,45
IndiGo,DEL,COK,DEL → COK,0,0,5000,24,6,2048.6,05,35,3,15
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,8529,12,6,2500.36,18,55,24,55
Air India,DEL,COK,DEL → MAA → COK,1,0,14042,3,3,2278.33,06,05,27,20
Jet Airways,BLR,DEL,BLR → DEL,0,1,4030,24,5,1709.71,11,10,2,55
Jet Airways,CCU,BLR,CCU → BOM → BLR,1,1,10844,6,6,2500.36,18,55,17,5
IndiGo,CCU,BLR,CCU → BLR,0,0,4804,6,5,1547.27,21,25,2,40
Multiple carriers,DEL,COK,DEL → BOM → COK,1,1,7308,27,5,2201.6,17,30,8,0
